period,Barton Pond,CityHall,Jackson,N Campus Pump Station,S Industrial
2015/5/28,,0,0,0,0
2015/5/29,,0,0.03,0,0
2015/5/30,,1.14,1.64,1.2,1.1
2015/5/31,,1.39,1.42,1.07,1.28
2015/6/1,,0,0,0,0
2015/6/2,,0,0,0,0
2015/6/3,,0,0,0,
2015/6/4,,0,0,0,
2015/6/5,,0,0,0.26,
2015/6/6,,0,0,0,
2015/6/7,,0.29,0.25,0.24,
2015/6/8,,0.06,0.09,0.07,0.03
2015/6/9,,0,0,0.01,0
2015/6/10,,0,0.04,0,0.07
2015/6/11,,0.01,0,0,0
2015/6/12,,0.05,0.13,0.15,0.34
2015/6/13,,0.07,0.07,0.07,0.17
2015/6/14,,3.01,2.11,2.24,2.85
2015/6/15,,0.31,0.5,0.49,0.65
2015/6/16,,0.07,0.08,0.12,0.12
2015/6/17,,0.05,0.07,0.12,0.03
2015/6/18,,0.06,0.15,0.09,0.12
2015/6/19,,0,0,0,0
2015/6/20,,0.01,0.01,0,0.05
2015/6/21,,0,0,0,0
2015/6/22,,0.04,0.08,0.05,0.03
2015/6/23,,1.15,1.17,1.5,1.46
2015/6/24,,0,0,0,0
2015/6/25,,0,0,0,0
2015/6/26,,0,0,0,0
2015/6/27,,1.38,1.34,1,1.45
2015/6/28,,0,0,0,0
2015/6/29,,0,0,0,0
2015/6/30,,0.12,0.05,0.05,0.06
2015/7/1,,0.02,0,0.07,0
2015/7/2,,0,0,0,0
2015/7/3,,0,0,0,0
2015/7/4,,0,0,0,0
2015/7/5,,0,0,0,0
2015/7/6,,0,0,0,0
2015/7/7,,0.25,0.32,0.23,0.32
2015/7/8,,0,0,0,0
2015/7/9,,0.55,0.61,0.61,0.55
2015/7/10,,0,0,0,0
2015/7/11,,0,0,0,0
2015/7/12,,0,0,0.01,0.01
2015/7/13,,0,0,0,0
2015/7/14,,0.54,0.35,0.33,0.57
2015/7/15,,0,0,0,0
2015/7/16,,0,0,0,0
2015/7/17,,0.42,0.43,0.5,0.5
2015/7/18,,0.04,0.07,0.06,0.08
2015/7/19,,0,0.01,0,0
2015/7/20,,0,0,0,0
2015/7/21,,0,0,0,0
2015/7/22,,0,0,0,0
2015/7/23,,0,0,0,0
2015/7/24,,0,0,0,0
2015/7/25,,0,0,0,0
2015/7/26,,0,0,0,0
2015/7/27,,0,0,0,0
2015/7/28,,0,0,0,0
2015/7/29,,0.29,0.28,0.15,0.52
2015/7/30,,0,0,0,0
2015/7/31,,0,0,0,0
2015/8/1,,0,0,0,0
2015/8/2,,0.9,0.85,0.88,0.86
2015/8/3,,0.25,0.24,0.26,0.26
2015/8/4,,0,0,0,0
2015/8/5,,0,0,0,0
2015/8/6,,0,0,0,0
2015/8/7,,0,0,0,0
2015/8/8,,0.01,0.02,0,0
2015/8/9,,0,0,0.01,0
2015/8/10,,1.26,1.25,1.06,1.09
2015/8/11,,0.01,0,0,0
2015/8/12,,0,0,0,0
2015/8/13,,0,0,0,0
2015/8/14,,0.02,0.16,0,0.06
2015/8/15,,0,0.01,0.01,0.01
2015/8/16,,0,0,0,0
2015/8/17,,0,0,0,0
2015/8/18,,0,0.04,0,0
2015/8/19,,0.53,0.22,0.46,0.47
2015/8/20,,0.26,0.39,0.35,0.27
2015/8/21,,0,0,0,0
2015/8/22,,0,0,0,0
2015/8/23,,0.16,0.38,0.25,0.15
2015/8/24,,0.01,0.01,0,0
2015/8/25,,0,0.01,0.01,0.01
2015/8/26,,0,0,0,0
2015/8/27,,0,0,0,0
2015/8/28,,0,0.04,0.03,0.05
2015/8/29,,0,0,0,0
2015/8/30,,0.01,0.11,0.02,0
2015/8/31,,0,0.01,0,0
2015/9/1,,0,0,0,0
2015/9/2,,0,0.25,0.03,0.08
2015/9/3,,1.09,0.9,0.79,1.13
2015/9/4,,0,0,0,0
2015/9/5,,0,0.12,0,0.02
2015/9/6,,0,0,0,0.01
2015/9/7,,0,0,0,0
2015/9/8,,0,0.03,0,0
2015/9/9,,0,0.01,0,0.02
2015/9/10,,0,0,0,0
2015/9/11,,0.09,0.11,0.09,0.11
2015/9/12,,0.01,0.02,0,0
2015/9/13,,0,0,0,0
2015/9/14,,0,0,0,0
2015/9/15,,0,0,0,0
2015/9/16,,0,0,0,0
2015/9/17,,0,0,0,0
2015/9/18,,0.29,0.29,0.42,0.49
2015/9/19,,0.24,0.23,0.3,0.24
2015/9/20,,0,0,0,0
2015/9/21,,0,0,0,0
2015/9/22,,0,0,0,0
2015/9/23,,0,0,0,0
2015/9/24,,0,0,0,0
2015/9/25,,0,0,0,0
2015/9/26,,0,0,0,0
2015/9/27,,0,0,0,0
2015/9/28,,0,0,0,0
2015/9/29,,0.07,0.12,0.06,0.08
2015/9/30,,0,0,0,0
2015/10/1,,0,0,0,0
2015/10/2,,0,0,0,0
2015/10/3,,0.08,0.1,0.06,0.03
2015/10/4,,0.01,0.01,0.01,0
2015/10/5,,0,0,0,0
2015/10/6,,0,0,0,0
2015/10/7,,0,0,0,0
2015/10/8,,0.01,0.05,0.04,0.01
2015/10/9,,0.01,0.01,0.02,0.01
2015/10/10,,0,0,0,0
2015/10/11,,0,0,0,0
2015/10/12,,0,0,0,0
2015/10/13,,0,0,0,0
2015/10/14,,0.02,0.01,0.03,0.01
2015/10/15,,0,0,0,0
2015/10/16,,0,0,0,0
2015/10/17,,0,0,0,0
2015/10/18,,0,0,0,0
2015/10/19,,0,0,0,0
2015/10/20,,0,0,0,0
2015/10/21,,0,0.01,0,0
2015/10/22,,0,0,0,0
2015/10/23,,0,0.01,0,0
2015/10/24,,0.44,0.45,0.52,0.5
2015/10/25,,0,0,0,0
2015/10/26,,0,0,0,0
2015/10/27,,0.03,0.07,0.06,0.04
2015/10/28,,1.28,1.19,1.38,0
2015/10/29,,0,0,0,0
2015/10/30,,0,0,0,0
2015/10/31,,0.08,0.12,0.11,0
2015/11/1,,0.01,0,0.02,0
2015/11/2,,0,0,0,0.05
2015/11/3,,0,0,0,0
2015/11/4,,0,0,0,0
2015/11/5,,0,0,0,0.01
2015/11/6,,0.24,0.19,0.22,0
2015/11/7,,0,0,0,0
2015/11/8,,0,0,0,0
2015/11/9,,0,0,0,0
2015/11/10,,0.29,0.27,0.34,0.12
2015/11/11,,0,0,0,0
2015/11/12,,0.24,0.27,0.28,0.18
2015/11/13,,0.01,0.02,0.02,0.04
2015/11/14,,0,0,0,0
2015/11/15,,0,0,0,0
2015/11/16,,0,0,0,0
2015/11/17,,0,0,0,0
2015/11/18,,0.17,0.17,0.21,0.16
2015/11/19,,0,0,0,0
2015/11/20,,0,0,0,0
2015/11/21,,0.46,0.77,0.19,0.51
2015/11/22,,0,0.01,0,0
2015/11/23,,0,0,0,0
2015/11/24,,0,0,0,0
2015/11/25,,0,0,0,0
